  PID       Vss      Rss      Pss      Uss     Swap    PSwap    USwap    ZSwap  cmdline
 1224  1229748K   85560K   47527K   41252K    6176K    2543K    2404K     732K  system_server
 3141  1267064K   81300K   41986K   35536K   15476K   11352K   10992K    3270K  com.android.systemui
 4180  1406572K   65724K   33117K   28616K    7044K    2390K    2196K     688K  com.google.android.gms
12499  1141008K   68488K   28119K   21988K    5128K    1189K    1060K     342K  com.android.settings
 3882  1167228K   56328K   24871K   20720K    5736K    1043K     852K     300K  com.google.android.gms.persistent
 3292  1134560K   41776K   20110K   19056K    8572K    3828K    3560K    1102K  com.android.phone
 8079  1146260K   44608K   14493K   10984K   10644K    6783K    6548K    1954K  com.android.launcher3
  966   112440K   15184K   13902K   13848K     344K     344K     344K      99K  /system/vendor/bin/mm-qcamera-daemon
12588  1116728K   49572K   12519K    8076K    5844K    1747K    1612K     503K  com.google.android.apps.assistant
 3122  1128304K   30556K    7569K    6356K   10164K    5490K    5140K    1581K  com.google.android.inputmethod.latin
 3926  1090504K   24784K    6387K    5708K    8924K    3613K    3280K    1041K  com.evenwell.OTAUpdate
10408  1106920K   31316K    5668K    4308K    5672K     682K     472K     196K  com.google.android.setupwizard
12014  1087540K   31828K    4196K    2532K    5388K     619K     456K     178K  android.process.media
12312  1103188K   30332K    4079K    2544K    6352K    1294K    1016K     372K  com.google.android.apps.searchlite
  630    83740K    6984K    3998K    3648K    2064K    2058K    2052K     592K  /system/bin/surfaceflinger
 7216  1083032K   21432K    3610K    2956K    5776K     718K     524K     207K  com.evenwell.pandorasbox
12329  1082108K   26432K    3158K    1968K    5168K     180K       4K      51K  com.evenwell.AprUploadService
  960    75540K    4784K    2952K    2868K    1416K    1396K    1376K     402K  /vendor/bin/hw/rild
 6417  1088600K   19992K    2888K    2268K    6064K    1081K     904K     311K  com.evenwell.nps
12285  1083088K   24780K    2883K    1816K    5276K     225K      44K      65K  com.google.android.partnersetup
12441  1081076K   24184K    2813K    1780K    5248K     186K       0K      53K  com.evenwell.healthycare
 3258  1090052K   20668K    2759K    2096K    5840K     757K     548K     218K  .dataservices
 1024    35488K    4768K    2747K    2624K      52K      52K      52K      14K  /system/vendor/bin/ims_rtp_daemon
 6346  1087100K   21308K    2592K    1880K    7292K    2288K    2096K     659K  com.evenwell.batteryprotect
 6327  1089972K   21064K    2443K    1736K    6628K    1711K    1540K     493K  com.evenwell.autoregistration
 3912  1088072K   19836K    2414K    1748K    7276K    1967K    1692K     566K  com.evenwell.pushagent
  959    37996K    4408K    2350K    2212K     532K     530K     528K     152K  media.codec
  605    83760K    4080K    2279K    2132K    4700K    4682K    4664K    1349K  /vendor/bin/hw/hal-server
 7234  1087252K   21504K    2255K    1508K    6400K    1466K    1296K     422K  com.evenwell.stbmonitor
 3627  1084096K   19196K    2168K    1572K    6184K     874K     620K     251K  com.qualcomm.qcrilmsgtunnel
